Price,City,Location,RoomsNr,Surface
239000,Bucuresti,Vitan Mall,3,82
650000,Bucuresti,Herastrau,3,109
460000,Bucuresti,Kiseleff,4,86
91450,Bucuresti,Theodor Pallady,3,75
249500,Bucuresti,Decebal,3,75
59633,Bucuresti,Theodor Pallady,2,46
81486,Bucuresti,Theodor Pallady,3,72
140000,Bucuresti,Theodor Pallady,3,74
100144,Bucuresti,Colentina,2,52
99900,Bucuresti,Pipera,2,52
76600,Bucuresti,Theodor Pallady,2,58
239000,Bucuresti,Dudesti,3,82
239000,Bucuresti,Alba Iulia,3,82
49000,Bucuresti,Theodor Pallady,1,37
69900,Bucuresti,Berceni,3,80
109000,Bucuresti,1 Mai,2,47
60800,Bucuresti,Theodor Pallady,2,50
135000,Bucuresti,Titan,3,65
91000,Bucuresti,Vitan,2,44
139000,Bucuresti,Tineretului,3,68
96000,Bucuresti,Camil Ressu,3,63
134500,Bucuresti,Unirii,3,85
90000,Bucuresti,Rosetti,3,59
240000,Bucuresti,Giulesti,3,96
57000,Bucuresti,Romana,1,38
174674,Bucuresti,Baneasa,3,76
87955,Bucuresti,Colentina,2,47
129000,Bucuresti,Pipera,2,54
109000,Bucuresti,Pipera,2,54
55000,Bucuresti,Giurgiului,3,50
187000,Bucuresti,Titan,4,107
104500,Bucuresti,Titan,3,64
105500,Bucuresti,Pantelimon,4,82
109500,Bucuresti,1 Decembrie 1918,3,67
131000,Bucuresti,Titulescu,2,58
105500,Bucuresti,Pantelimon,2,73
99000,Bucuresti,Morarilor,4,79
115000,Bucuresti,Pantelimon,4,66
95000,Bucuresti,Floreasca,2,47
200880,Bucuresti,Berceni,3,240
250000,Bucuresti,Unirii,4,85
128900,Bucuresti,Colentina,2,67
199000,Bucuresti,13 Septembrie,3,84
454000,Bucuresti,Herastrau,4,133
114900,Bucuresti,Chitila,2,60
254000,Bucuresti,Aviatiei,4,100
172000,Bucuresti,Bucurestii Noi,3,80
66340,Bucuresti,Metalurgiei,2,50
68950,Bucuresti,Theodor Pallady,2,61
58440,Bucuresti,Metalurgiei,2,55
150000,Bucuresti,Timisoara,2,54
63700,Bucuresti,Ozana,2,44
242000,Bucuresti,Herastrau,2,72
180000,Bucuresti,Victoriei,3,76
249900,Bucuresti,Dorobanti,4,90
396000,Bucuresti,Primaverii,3,86
31000,Bucuresti,Titan,1,19
128000,Bucuresti,Drumul Taberei,4,91
85000,Bucuresti,Rahova,4,90
270000,Bucuresti,Unirii,5,115
371700,Bucuresti,Herastrau,3,73
80000,Bucuresti,Dristor,2,54
227000,Bucuresti,Pipera,3,93
62000,Bucuresti,Industriilor,1,31
158865,Bucuresti,Domenii,2,43
123000,Bucuresti,Chitila,2,53
107000,Bucuresti,Pipera,2,53
79000,Bucuresti,Drumul Taberei,2,51
219000,Bucuresti,Primaverii,2,54
164900,Bucuresti,Nerva Traian,2,60
214990,Bucuresti,Dristor,2,62
140000,Bucuresti,Lujerului,2,55
135000,Bucuresti,Dristor,3,67
68000,Bucuresti,Vitan,1,31
165000,Bucuresti,Dristor,4,83
270000,Bucuresti,Barbu Vacarescu,3,91
159990,Bucuresti,Timpuri Noi,2,54
169700,Bucuresti,Vitan,3,85
71990,Bucuresti,Vacaresti,2,59
120000,Bucuresti,Militari,2,110
70000,Bucuresti,Militari,2,70
55000,Bucuresti,Pantelimon,2,42
172000,Bucuresti,Bucurestii Noi,3,79
149000,Bucuresti,Baneasa,2,56
69000,Bucuresti,Theodor Pallady,2,49
315000,Bucuresti,Aviatiei,3,106
285000,Bucuresti,Pipera,3,108
259000,Bucuresti,Pipera,3,86
285000,Bucuresti,Barbu Vacarescu,3,108
315000,Bucuresti,Floreasca,3,106
259000,Bucuresti,Barbu Vacarescu,3,86
169900,Bucuresti,Panduri,3,80
299000,Bucuresti,Barbu Vacarescu,3,106
213000,Bucuresti,Floreasca,2,90
285000,Bucuresti,Floreasca,3,108
169900,Bucuresti,13 Septembrie,3,80
259000,Bucuresti,Floreasca,3,86
100459,Bucuresti,Theodor Pallady,3,135
154000,Bucuresti,Theodor Pallady,3,74
169000,Bucuresti,Pipera,3,77
259350,Bucuresti,Domenii,3,72
77000,Bucuresti,Theodor Pallady,1,36
87913,Bucuresti,Colentina,2,47
59633,Bucuresti,Theodor Pallady,2,50
96450,Bucuresti,Theodor Pallady,3,75
63303,Bucuresti,Theodor Pallady,2,49
120000,Bucuresti,Theodor Pallady,3,108
120500,Bucuresti,Theodor Pallady,3,91
110091,Bucuresti,Theodor Pallady,3,88
87155,Bucuresti,Theodor Pallady,3,87
43578,Bucuresti,Theodor Pallady,1,37
129000,Bucuresti,Theodor Pallady,3,100
65010,Bucuresti,Theodor Pallady,2,39
97706,Bucuresti,Theodor Pallady,3,76
169000,Bucuresti,Theodor Pallady,3,152
57798,Bucuresti,Theodor Pallady,2,45
98999,Bucuresti,Theodor Pallady,3,76
75688,Bucuresti,Theodor Pallady,2,63
106000,Bucuresti,Chitila,2,53
93000,Bucuresti,Theodor Pallady,2,42
279000,Bucuresti,Bucurestii Noi,1,37
94495,Bucuresti,Theodor Pallady,3,84
85000,Bucuresti,Theodor Pallady,2,65
67890,Bucuresti,Theodor Pallady,2,57
56881,Bucuresti,Theodor Pallady,2,48
62385,Bucuresti,Theodor Pallady,2,64
63600,Bucuresti,Theodor Pallady,2,53
66640,Bucuresti,Theodor Pallady,2,48
51376,Bucuresti,Theodor Pallady,2,48
61468,Bucuresti,Theodor Pallady,2,52
379900,Bucuresti,Floreasca,3,77
332600,Bucuresti,Calea Victoriei,3,71
207850,Bucuresti,P-ta Victoriei,2,54
128000,Bucuresti,Decebal,2,56
89000,Bucuresti,1 Decembrie 1918,2,53
148000,Bucuresti,Veteranilor,4,78
240380,Bucuresti,Domenii,2,53
113000,Bucuresti,Pipera,2,52
90204,Bucuresti,Colentina,2,49
120000,Bucuresti,Bucurestii Noi,2,54
89500,Bucuresti,Chitila,1,37
197000,Bucuresti,Decebal,3,72
172918,Bucuresti,Theodor Pallady,4,126
125000,Bucuresti,Baneasa,2,52
135000,Bucuresti,Brancoveanu,4,78
390000,Bucuresti,Baneasa,3,110
192000,Bucuresti,Tei,2,58
125000,Bucuresti,Dristor,3,69
140000,Bucuresti,Titan,4,78
135000,Bucuresti,Tineretului,2,58
150000,Bucuresti,Dorobanti,3,59
89000,Bucuresti,Iancului,2,49
320000,Bucuresti,Unirii,4,110
117522,Bucuresti,Theodor Pallady,3,83
96074,Bucuresti,Theodor Pallady,2,62
73795,Bucuresti,Theodor Pallady,2,45
307000,Bucuresti,1 Mai,3,82
230000,Bucuresti,Aviatiei,3,82
74500,Bucuresti,Dristor,2,55
112000,Bucuresti,Dristor,2,53
62310,Bucuresti,Theodor Pallady,1,38
140000,Bucuresti,Mosilor,4,92
159900,Bucuresti,Mosilor,4,60
105000,Bucuresti,Tei,2,56
134900,Bucuresti,Chisinau,4,82
70000,Bucuresti,Giurgiului,2,42
167000,Bucuresti,Grozavesti,2,46
82500,Bucuresti,Colentina,2,60
138000,Bucuresti,Alba Iulia,2,54
110000,Bucuresti,Dristor,3,65
117999,Bucuresti,Dorobanti,2,46
62000,Bucuresti,Dristor,1,31
199900,Bucuresti,P-ta Victoriei,2,60
65000,Bucuresti,Theodor Pallady,1,30
110000,Bucuresti,Pipera,2,53
169000,Bucuresti,Pipera,3,77
254000,Bucuresti,Aviatiei,4,100
100000,Bucuresti,Industriilor,2,54
259350,Bucuresti,Domenii,3,72
148000,Bucuresti,Mosilor,2,50
168990,Bucuresti,Militari,2,51
100000,Bucuresti,Titan,3,52
210000,Bucuresti,Decebal,4,94
